Rubric,Score,Evidence
Video,3,https://youtu.be/aGQisQmQt-o
Number of commits,3,
Number of commits: by different people,3,https://github.com/SE23-Team44/slash-phase4/pulse
Issues reports: there are many,3,https://github.com/SE23-Team44/slash-phase4/issues?q=is%3Aopen+is%3Aissue
Issues are being closed,3,https://github.com/SE23-Team44/slash-phase4/issues?q=is%3Aissue+is%3Aclosed
DOI badge: exists,3,https://zenodo.org/records/10023644
"Docs: doco generated, format not ugly",3,
Docs: what: point descriptions of each class/function (in isolation),3,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,https://github.com/SE23-Team44/slash-phase4/blob/main/docs/SoftwareDocumentation-%20Phase4.md
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",3,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",0,
Use of version control tools,3,
Use of style checkers,3,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/style_checker.yml
Use of code formatters.,3,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/code_formatter.yml
Use of syntax checkers.,3,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/pylint.yml
Use of code coverage,3,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/code_cov.yml
Other automated analysis tools,2,
Test cases exist,3,https://github.com/SE23-Team44/slash-phase4/tree/main/tests
Test cases are routinely executed,3,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/unit_test.yml
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/SE23-Team44/slash-phase4/blob/main/CONTRIBUTING.md
Issues are discussed before they are closed,3,
Chat channel: exists,3,https://discord.com/invite/6x8ZJvPc
Test cases: a large proportion of the issues related to handling failing cases.,2,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
Evidence that the members of the team are working across multiple places in the code base,3,
Short release cycles,3,
Software Sustainability Evaluation,,
,,
Q1 - What your software does,,
"Question 1.1: Does your website and documentation provide a clear, high-level overview of your software?",Yes,
Question 1.2: Does your website and documentation clearly describe the type of user who should use your software?,Yes,
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?,No,
,,
Q2 - Your project's and software's identity,,
Question 2.1: Is the name of your project/software unique?,Yes,
Question 2.2: Is your project/software name free from trademark violations?,Yes,
,,
Q3 - Availability of your software,,
Question 3.1: Is your software available as a package that can be deployed without building it?,No,
Question 3.2: Is your software available for free?,Yes,
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",Yes,Yes it can be downloaded through github
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?",Yes,Github
,,
Q4 - Your software's documentation,,
Question 4.1: Is your documentation clearly available on your website or within your software?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/docs/Code%20Description.pdf
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",Yes,"We us fastAPI, which supports this"
Question 4.7: Do you store your documentation under revision control with your source code?,No,
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,https://github.com/SE23-Team44/slash-phase4/releases/tag/v4.0
,,
Q5 - How you support your software,,
Question 5.1: Does your software describe how a user can get help with using your software?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?,Yes,https://discord.com/invite/6x8ZJvPc
Question 5.4: Are e-mails to your support e-mail address received by more than one person?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?,Yes,https://github.com/SE23-Team44/slash-phase4/issues
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",Yes,https://github.com/SE23-Team44/slash-phase4/issues
,,
Q6 - Your software's maintainability,,
Question 6.1: Is your software’s architecture and design modular?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/slash_user_interface.py
Question 6.2: Does your software use an accepted coding standard or convention?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/CONTRIBUTING.md
,,
Q7 - Open standards and your software,,
Question 7.1: Does your software allow data to be imported and exported using open data formats?,Yes,Download as csv feature
Question 7.2: Does your software allow communications using open communications protocols?,No,
,,
Q8 - Your software's portability,,
Question 8.1: Is your software cross-platform compatible?,Yes,Can run in all operatings systems that support python
,,
Q9 - Your software and accessibility,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?,No,
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?,No,
,,
Q10 - How you manage your source code,,
Question 10.1: Is your source code stored in a repository under revision control?,Yes,Yes in github
Question 10.2: Is each source code release a snapshot of the repository?,No,
Question 10.3: Are releases tagged in the repository?,Yes,https://github.com/SE23-Team44/slash-phase4/releases/tag/v4.0
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,Main Branch
Question 10.5: Do you back-up your repository?,Yes,Yes local backups
,,
Q11 - Building and installing your software,,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
"Question 11.2: Can you build, or package, your software using an automated tool?",No,
Question 11.3: Do you provide publicly-available instructions for deploying your software?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
Question 11.4: Does your documentation list all third-party dependencies?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/requirements.txt
Question 11.5: Does your documentation list the version number for all third-party dependencies?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/requirements.txt
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/requirements.txt
Question 11.7: Can you download dependencies using a dependency management tool or package manager?,Yes,Yes using pip
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,No,
,,
Q12 - How you test your software,,
Question 12.1: Do you have an automated test suite for your software?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/.github/workflows/unit_test.yml
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?",Yes,https://github.com/SE23-Team44/slash-phase4/actions/workflows/main.yml
Question 12.4: Are your test results publicly visible?,Yes,https://github.com/SE23-Team44/slash-phase4/actions/workflows/main.yml
Question 12.5: Are all manually-run tests documented?,Yes,
Q13 - How you engage with your community,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
Question 13.2: Does your website state how many projects and users are associated with your project?,Yes,Github inbuilt functionality
Question 13.3: Do you provide success stories on your website?,No,
Question 13.4: Do you list your important partners and collaborators on your website?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/README.md
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?,No,
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
Question 13.7: Can users subscribe to notifications to changes to your source code repository?,Yes,Inbuilt github functionality
,,
Q14 - How you manage contributions,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/CONTRIBUTING.md
Question 14.2: Do you have a contributions policy?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/CONTRIBUTING.md
Question 14.3: Is your contributions' policy publicly available?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/CONTRIBUTING.md
Question 14.4: Do contributors keep the copyright/IP of their contributions?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/src/main_streamlit.py
,,
Q15 - Your software's copyright and licensing,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/LICENSE
Question 15.2: Does each of your source code files include a copyright statement?,Yes,Can be seen in files
Question 15.3: Does your website and documentation clearly state the licence of your software?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/LICENSE
Question 15.4: Is your software released under an open source licence?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/LICENSE
Question 15.5: Is your software released under an OSI-approved open-source licence?,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/LICENSE
Question 15.6: Does each of your source code files include a licence header?*,Yes,https://github.com/SE23-Team44/slash-phase4/blob/main/LICENSE
Question 15.7: Do you have a recommended citation for your software?*,No,
,,
Q16 - Your plans for the future,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes, https://github.com/orgs/SE23-Team44/projects/2
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?",No,
